objectid,id,x,y,address,city,county,countyfips,state,state_id,st_fips,zip,country,latitude,longitude
1,5793230,-13318894.76,4346975.444,1025 NORTH DOUTY STREET,HANFORD,KINGS,6031,CA,NOT AVAILABLE,6,93230,USA,36.33615885,-119.6456673
2,53391362,-13226507.27,4049625.553,150 VIA MERIDA,WESTLAKE VILAGE,VENTURA,6111,CA,NOT AVAILABLE,6,91362,USA,34.15493887,-118.8157364
3,11190023,-13156201.05,4031977.723,4060 WHITTIER BOULEVARD,LOS ANGELES,LOS ANGELES,6037,CA,NOT AVAILABLE,6,90023,USA,34.0236473,-118.1841648
4,17090028,-13171904.89,4041752.386,6245 DE LONGPRE AVENUE,HOLLYWOOD,LOS ANGELES,6037,CA,NOT AVAILABLE,6,90028,USA,34.09639136,-118.3252349
5,23691706,-13132075.1,4037269.759,14148 FRANCISQUITO AVENUE,BALDWIN PARK,LOS ANGELES,6037,CA,NOT AVAILABLE,6,91706,USA,34.06303893,-117.9674378
6,25190712,-13152220.06,4009979.573,3700 EAST SOUTH STREET,LAKEWOOD,LOS ANGELES,6037,CA,NOT AVAILABLE,6,90712,USA,33.85970662,-118.148403
7,30791016,-13134883.68,4048794.213,323 SOUTH HELIOTROPE AVENUE,MONROVIA,LOS ANGELES,6037,CA,NOT AVAILABLE,6,91016,USA,34.14875866,-117.9926677
8,30891754,-13151091.19,4035446.045,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,LOS ANGELES,6037,CA,NOT AVAILABLE,6,91754,USA,34.04946606,-118.1382622
9,47090505,-13175340.44,4005182.476,4025 WEST 226 STREET,TORRANCE,LOS ANGELES,6037,CA,NOT AVAILABLE,6,90505,USA,33.82391446,-118.3560969
10,9092879,-13086035.62,4009761.963,730 MAGNOLIA AVENUE,CORONA,RIVERSIDE,6065,CA,NOT AVAILABLE,6,92879,USA,33.85808331,-117.553858
11,30696101,-13419090.84,5083409.808,228 MC DOWELL STREET,ALTURAS,MODOC,6049,CA,NOT AVAILABLE,6,96101,USA,41.48005626,-120.545744
12,38593901,-13541568.97,4391685.999,450 EAST ROMIE LANE,SALINAS,MONTEREY,6053,CA,NOT AVAILABLE,6,93901,USA,36.65903046,-121.6459838
13,12678414,-10842096.31,3221077.58,1310 THIRD STREET,CORPUS CHRISTI,NUECES,48355,TX,NOT AVAILABLE,48,78414,USA,27.77851017,-97.39620831
14,15992866,-13117208.84,3999664.772,393 S. TUSTIN STREET,ORANGE,ORANGE,6059,CA,NOT AVAILABLE,6,92866,USA,33.78272717,-117.8338919
15,16192680,-13116893.11,3994942.371,14851 YORBA STREET,TUSTIN,ORANGE,6059,CA,NOT AVAILABLE,6,92680,USA,33.74746074,-117.8310556
16,23792621,-13123894.35,4020009.812,875 NORTH BREA BOULEVARD,BREA,ORANGE,6059,CA,NOT AVAILABLE,6,92621,USA,33.93449589,-117.8939488
17,24392683,-13135171.81,3997094.337,200 HOSPITAL CIRCLE,WESTMINSTER,ORANGE,6059,CA,NOT AVAILABLE,6,92683,USA,33.76353321,-117.995256
18,22093277,-13285784.69,4344859.287,1100 SO. AKERS STREET,VISALIA,TULARE,6107,CA,NOT AVAILABLE,6,93277,USA,36.32084395,-119.3482345
19,1931537,-9128761.231,3612671.462,2449 THIRD STREET,FOLKSTON,CHARLTON,13049,GA,14,13,31537,USA,30.84527535,-82.00505739
20,5870563,-10218519.65,3504437.702,600 N LEWIS AVE.,NEW IBERIA,IBERIA,22045,LA,NOT AVAILABLE,22,70563,USA,30.00690698,-91.79452385
21,13177954,-10624209.67,3674846.933,1100 EAST LOOP 304,CROCKETT,HOUSTON,48225,TX,NOT AVAILABLE,48,77954,USA,31.32360364,-95.43889931
22,4671360,-10290388.77,3675338.915,242 W SHAMROCK AVE,PINEVILLE,RAPIDES,22079,LA,NOT AVAILABLE,22,71360,USA,31.32737894,-92.44013511
23,15671222,-10314490.95,3871965.037,409 1ST ST,BERNICE,UNION,22111,LA,NOT AVAILABLE,22,71222,USA,32.82399167,-92.65664868
24,16971241,-10286547.22,3865626.252,309 N MAIN ST,FARMERVILLE,UNION,22111,LA,NOT AVAILABLE,22,71241,USA,32.77612793,-92.40562585
25,15371373,-10177503.22,3705844.849,209 FRONT ST.,VIDALIA,CONCORDIA,22029,LA,NOT AVAILABLE,22,71373,USA,31.56117486,-91.42606698
26,5371418,-10252429.11,3771194.387,7939 HIGHWAY 165,COLUMBIA,CALDWELL,22021,LA,NOT AVAILABLE,22,71418,USA,32.06003995,-92.09913767
27,22830662,-9252761.679,4066899.339,545 COOK STREET,ROYSTON,FRANKLIN,13119,GA,NOT AVAILABLE,13,30662,USA,34.28325037,-83.11897237
28,70990806,-13157227.98,4002928.631,2776 PACIFIC AVENUE,LONG BEACH,LOS ANGELES,6037,CA,NOT AVAILABLE,6,90806,USA,33.80709287,-118.1933899
29,71794577,-13599307.13,4538033.475,2500 MERCED STREET,SAN LEANDRO,ALAMEDA,6001,CA,NOT AVAILABLE,6,94577,USA,37.7064062,-122.1646545
30,72590723,-13153763.4,4013321.404,16453 SOUTH COLORADO AVENUE,PARAMOUNT,LOS ANGELES,6037,CA,NOT AVAILABLE,6,90723,USA,33.88463186,-118.1622671
31,73790650,-13143268.49,4019142.484,11401 BLOOMFIELD AVENUE,NORWALK,LOS ANGELES,6037,CA,NOT AVAILABLE,6,90650,USA,33.92803135,-118.0679897
32,196162274,-9946297.205,4591418.65,5383 STATE ROUTE 154,PINCKNEYVILLE,PERRY,17145,IL,NOT AVAILABLE,17,62274,USA,38.084846,-89.349108
33,85531419,-9034083.891,3761398.282,11705 MERCY BOULEVARD,SAVANNAH,CHATHAM,13051,GA,NOT AVAILABLE,13,31419,USA,31.98543032,-81.15455637
34,86630165,-9482220.902,4063728.737,320 TURNER MCCALL BOULEVARD,ROME,FLOYD,13115,GA,NOT AVAILABLE,13,30165,USA,34.25971345,-85.18023963
35,87130286,-9388297.013,3880221.592,801 W GORDON STREET,THOMASTON,UPSON,13293,GA,NOT AVAILABLE,13,30286,USA,32.8862977,-84.33650699
36,87531719,-9379340.605,3772103.688,126 HIGHWAY 280 W,AMERICUS,SUMTER,13261,GA,NOT AVAILABLE,13,31719,USA,32.06696234,-84.2560502
37,87931830,-9427908.708,3880444.702,6135 ROOSEVELT HIGHWAY,WARM SPRINGS,MERIWETHER,13199,GA,NOT AVAILABLE,13,31830,USA,32.88798074,-84.6923449
38,90030265,-9435189.203,3946496.439,600 CELEBRATE LIFE PKWY,NEWNAN,COWETA,13077,GA,NOT AVAILABLE,13,30265,USA,33.38483465,-84.75774669
39,196500984,-7342164.958,2082127.162,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",CAROLINA,METRO,72031,PR,NOT AVAILABLE,72,984,PRI,18.380443,-65.95579
40,2054311,-9787746.979,5546692.677,3150 GERSHWIN DRIVE,GREEN BAY,BROWN,55009,WI,213,55,54311,USA,44.52271226,-87.92482708
41,151253226,-9800263.602,5317424.411,10000 WEST BLUEMOUND ROAD,WAUWATOSA,MILWAUKEE,55079,WI,NOT AVAILABLE,55,53226,USA,43.03581215,-88.03726582
42,196600956,-7364273.149,2080627.212,"AVE LAUREL 100, URB. SANTA JUANITA",BAYAMON,BAYAMON,72021,PR,NOT AVAILABLE,72,956,PRI,18.36765566,-66.15439126
43,159171301,-10295047.79,3665544.51,6410 MASONIC DRIVE,ALEXANDRIA,RAPIDES,22079,LA,NOT AVAILABLE,22,71301,USA,31.25219156,-92.48198781
44,163570394,-10081677.95,3465387.996,4608 HIGHWAY 1,RACELAND,LAFOURCHE,22057,LA,NOT AVAILABLE,22,70394,USA,29.70267142,-90.5652539
45,164970748,-10153524.28,3611032.723,4502 HWY 951,JACKSON,EAST FELICIANA,22037,LA,NOT AVAILABLE,22,70748,USA,30.83263569,-91.21066049
46,160970056,-10022170.77,3486334.361,3201 WALL BOULEVARD,GRETNA,JEFFERSON,22051,LA,NOT AVAILABLE,22,70056,USA,29.86597947,-90.03069185
48,152354971,-9887146.874,5439847.174,845 PARKSIDE ST,RIPON,FOND DU LAC,55039,WI,1024,55,54971,USA,43.83437609,-88.81775153
49,13402908,-7951901.833,5135867.764,830 CHALKSTONE AVE,PROVIDENCE,PROVIDENCE,44007,RI,NOT AVAILABLE,44,2908,USA,41.83213908,-71.43314954
50,15954660,-10073670.19,5465918.938,500 E VETERANS ST,TOMAH,MONROE,55081,WI,NOT AVAILABLE,55,54660,USA,44.00308068,-90.49331901
51,5854452,-9983335.791,5649213.743,601 S CENTER AVE,MERRILL,LINCOLN,55069,WI,1043,55,54452,USA,45.17563254,-89.68183128
52,58796001,-13626838.62,4951554.486,2750 EUREKA WAY,REDDING,SHASTA,6089,CA,NOT AVAILABLE,6,96001,USA,40.58659539,-122.4119741
53,59093436,-13408676.27,4114439.346,303 SOUTH C STREET,LOMPOC,SANTA BARBARA,6083,CA,NOT AVAILABLE,6,93436,USA,34.63537161,-120.4521883
54,23831825,-9424385.989,3774626.874,580 ALSTON STREET,RICHLAND,STEWART,13259,GA,NOT AVAILABLE,13,31825,USA,32.08616827,-84.66069977
55,21891761,-13092129.39,4033110.341,2295 S. VINEYARD AVENUE,ONTARIO,SAN BERNARDINO,6071,CA,NOT AVAILABLE,6,91761,USA,34.03207956,-117.6085993
56,25692354,-13052392.5,4035155.787,25333 BARTON ROAD,LOMA LINDA,SAN BERNARDINO,6071,CA,NOT AVAILABLE,6,92354,USA,34.04730564,-117.2516368
57,44792404,-13055218.15,4046899.6,2101 NORTH WATERMAN AVENUE,SAN BERNARDINO,SAN BERNARDINO,6071,CA,NOT AVAILABLE,6,92404,USA,34.13467236,-117.27702
58,20092120,-13034973.54,3867669.95,4647 ZION AVENUE,SAN DIEGO,SAN DIEGO,6073,CA,NOT AVAILABLE,6,92120,USA,32.79156258,-117.0951595
59,40992037,-13051416.71,3881621.696,10666 NORTH TORREY PINES ROAD,LA JOLLA,SAN DIEGO,6073,CA,NOT AVAILABLE,6,92037,USA,32.8968589,-117.2428711
60,41092024,-13056015.57,3900261.908,354 SANTA FE DRIVE,ENCINITAS,SAN DIEGO,6073,CA,NOT AVAILABLE,6,92024,USA,33.03734478,-117.2841834
61,42292123,-13041632.47,3868561.604,3003 HEALTH CENTER DRIVE,SAN DIEGO,SAN DIEGO,6073,CA,NOT AVAILABLE,6,92123,USA,32.79829578,-117.1549778
62,51092103,-13042829.56,3862798.867,200 WEST ARBOR DRIVE,SAN DIEGO,SAN DIEGO,6073,CA,NOT AVAILABLE,6,92103,USA,32.75477023,-117.1657314
63,4894118,-13631742.97,4549310.467,3700 CALIFORNIA STREET,SAN FRANCISCO,SAN FRANCISCO,6075,CA,NOT AVAILABLE,6,94118,USA,37.7865092,-122.4560306
64,5094115,-13628989.36,4549901.429,2333 BUCHANAN STREET,SAN FRANCISCO,SAN FRANCISCO,6075,CA,NOT AVAILABLE,6,94115,USA,37.79070454,-122.4312945
65,46594117,-13631489.28,4547561.104,450 STANYAN STREET,SAN FRANCISCO,SAN FRANCISCO,6075,CA,NOT AVAILABLE,6,94117,USA,37.77408876,-122.4537516
66,20595403,-13661914.31,4646290.412,401 BICENTENNIAL WAY,SANTA ROSA,SONOMA,6097,CA,NOT AVAILABLE,6,95403,USA,38.47179301,-122.7270644
67,19594590,-13608627.11,4597368.364,975 SERENO DRIVE,VALLEJO,SOLANO,6095,CA,NOT AVAILABLE,6,94590,USA,38.12690208,-122.2483773
68,53195695,-13557839.59,4673645.41,1325 COTTONWOOD STREET,WOODLAND,YOLO,6113,CA,NOT AVAILABLE,6,95695,USA,38.66392502,-121.7921452
69,1294609,-13610366.68,4554048.638,3100 SUMMIT STREET,OAKLAND,ALAMEDA,6001,CA,NOT AVAILABLE,6,94609,USA,37.82013961,-122.2640042
70,39794578,-13596951.52,4538861.156,13855 EAST 14TH STREET,SAN LEANDRO,ALAMEDA,6001,CA,NOT AVAILABLE,6,94578,USA,37.71228835,-122.1434937
71,46694545,-13590764.26,4527772.094,27200 CALAROGA AVENUE,HAYWARD,ALAMEDA,6001,CA,NOT AVAILABLE,6,94545,USA,37.63344199,-122.0879125
72,45995204,-13502060.25,4576120.182,2510 NORTH CALIFORNIA STREET,STOCKTON,SAN JOAQUIN,6077,CA,NOT AVAILABLE,6,95204,USA,37.9765963,-121.2910709
73,46095204,-13501738.74,4575254.657,1800 NORTH CALIFORNIA STREET,STOCKTON,SAN JOAQUIN,6077,CA,NOT AVAILABLE,6,95204,USA,37.97046719,-121.2881828
74,13291741,-13121368.61,4046628.234,250 SOUTH GRAND AVENUE,GLENDORA,LOS ANGELES,6037,CA,NOT AVAILABLE,6,91741,USA,34.13265458,-117.8712597
75,14791204,-13164269.3,4046024.549,1420 SOUTH CENTRAL AVENUE,GLENDALE,LOS ANGELES,6037,CA,NOT AVAILABLE,6,91204,USA,34.12816563,-118.2566432
76,19090027,-13168447.36,4042045.751,4867 SUNSET BOULEVARD,LOS ANGELES,LOS ANGELES,6037,CA,NOT AVAILABLE,6,90027,USA,34.09857365,-118.2941753
77,19391402,-13183591.71,4058187.75,13652 CANTARA STREET,PANORAMA CITY,LOS ANGELES,6037,CA,NOT AVAILABLE,6,91402,USA,34.21856419,-118.4302193
78,36691356,-13194911.2,4051704.684,18321 CLARK STREET,TARZANA,LOS ANGELES,6037,CA,NOT AVAILABLE,6,91356,USA,34.17039322,-118.5319041
79,42990020,-13167580.93,4037829.559,3160 GENEVA STREET,LOS ANGELES,LOS ANGELES,6037,CA,NOT AVAILABLE,6,90020,USA,34.06720478,-118.2863921
80,50190716,-13144569.62,4006485.758,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,LOS ANGELES,6037,CA,NOT AVAILABLE,6,90716,USA,33.83364001,-118.079678
81,45295422,-13650012.05,4712453.717,15630 18TH AVE - HWY 53,CLEARLAKE,LAKE,6033,CA,NOT AVAILABLE,6,95422,USA,38.93561886,-122.6201445
