objectid,id,telephone,website
1,5793230,NOT AVAILABLE,http://www.hanfordhealth.com
2,53391362,NOT AVAILABLE,http://www.losrobleshospital.com
3,11190023,NOT AVAILABLE,http://www.elalax.com
4,17090028,(323) 462-2271,http://sch-hollywood.com/
5,23691706,NOT AVAILABLE,http://www.khbaldwinpark.com
6,25190712,NOT AVAILABLE,http://www.lakewoodregional.com
7,30791016,NOT AVAILABLE,http://www.monroviamemorial.com
8,30891754,NOT AVAILABLE,http://www.montereyparkhosp.com
9,47090505,NOT AVAILABLE,http://www.starsinc.com/
10,9092879,NOT AVAILABLE,http://www.coronaregional.com
11,30696101,NOT AVAILABLE,http://www.modocmedicalcenter.org
12,38593901,NOT AVAILABLE,http://www.svmh.com
13,12678414,(361) 888-4323,NOT AVAILABLE
14,15992866,NOT AVAILABLE,http://www.healthbridgeorange.com
15,16192680,NOT AVAILABLE,http://www.tustinrehab.com
16,23792621,NOT AVAILABLE,http://www.kindredhospitalbrea.com/
17,24392683,NOT AVAILABLE,http://www.khwestminster.com/
18,22093277,NOT AVAILABLE,http://www.kaweahdelta.org
19,1931537,NOT AVAILABLE,http://www.southcoast.org/charlton/
20,5870563,(337) 365-7311,http://www.dauterivehospital.com
21,13177954,(936( 546-3891,http://crockettmedicalcenter.com/
22,4671360,(318) 484-6200,http://www.dhh.la.gov/omh/inpatient-serv/clsh.htm
23,15671222,(318) 285-9066,http://reevesmemorial.com/
24,16971241,(318) 202-3860,http://www.serenityhospital.com
25,15371373,(800) 269-8034,http://www.promise-misslou.com
26,5371418,(318) 649-6106,NOT AVAILABLE
27,22830662,(706) 245-1900,http://tycobbhealthcare.com/programsservices/longtermcare/brownmemorialconvalescentcenter.aspx
28,70990806,NOT AVAILABLE,http://www.collegemedicalcenter.com
29,71794577,NOT AVAILABLE,http://www.kaiserpermanente.org
30,72590723,NOT AVAILABLE,http://www.promiseeastla.com/
31,73790650,(562) 863-7011,http://www.dsh.ca.gov/metropolitan/default.asp
32,196162274,(618) 357-2187,http://www.pvillehosp.org/
33,85531419,NOT AVAILABLE,NOT AVAILABLE
34,86630165,NOT AVAILABLE,NOT AVAILABLE
35,87130286,NOT AVAILABLE,NOT AVAILABLE
36,87531719,(229) 924-6011,http://www.phoebeputney.com/phoebecontentpage.aspx?nd=1479
37,87931830,(404) 655-5011,NOT AVAILABLE
38,90030265,NOT AVAILABLE,http://www.cancercenter.com/southeastern/
39,196500984,(787) 621-3322,https://www.tuhospitalfamiliar.com/
40,2054311,(920) 391-4700,http://www.co.brown.wi.us/
41,151253226,(414) 778-7800,NOT AVAILABLE
42,196600956,(787) 786-7373,NOT AVAILABLE
43,159171301,(318) 473-0035,NOT AVAILABLE
44,163570394,(985) 537-8377,https://www.ochsner.org/locations/ochsner-st-anne/
45,164970748,(225) 634-0216,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219
46,160970056,(504) 433-5551,http://umrhospital.com/locations/new-orleans/
48,152354971,(920) 748-3101,http://www.agnesian.com/locations/hospitals/ripon-medical-center
49,13402908,NOT AVAILABLE,http://www.providence.va.gov/
50,15954660,(608) 372-3971,http://www.tomah.va.gov/
51,5854452,(715) 536-5511,http://www.ministryhealth.org
52,58796001,(530) 262-6700,http://www.restpadd.com/
53,59093436,(844) 394-3767,https://championrecovery.com/
54,23831825,(229) 887-3366,http://www.stewartcountyga.gov/stewartwebsterhospital.htm
55,21891761,NOT AVAILABLE,http://www.kaiserpermanente.org
56,25692354,NOT AVAILABLE,http://www.llumc.edu
57,44792404,NOT AVAILABLE,http://www.stbernardinemedicalcenter.com
58,20092120,NOT AVAILABLE,http://www.kaiserpermanente.org
59,40992037,NOT AVAILABLE,http://www.scrippshealth.org
60,41092024,NOT AVAILABLE,http://www.scripps.org
61,42292123,NOT AVAILABLE,http://www.sharp.com
62,51092103,NOT AVAILABLE,https://health.ucsd.edu/locations/pages/hillcrest.aspx
63,4894118,NOT AVAILABLE,http://www.cpmc.org
64,5094115,NOT AVAILABLE,http://www.cpmc.org
65,46594117,NOT AVAILABLE,http://www.stmarysmedicalcenter.org
66,20595403,NOT AVAILABLE,http://www.kaiserpermanente.org
67,19594590,NOT AVAILABLE,http://www.kaiserpermanente.org
68,53195695,NOT AVAILABLE,http://www.woodlandhealthcare.org
69,1294609,NOT AVAILABLE,http://www.altabatessummit.com
70,39794578,NOT AVAILABLE,http://edenmedcenter.org
71,46694545,NOT AVAILABLE,http://www.srhca.org
72,45995204,NOT AVAILABLE,http://www.stjosephscanhelp.org
73,46095204,NOT AVAILABLE,http://www.stjosephscares.org
74,13291741,NOT AVAILABLE,http://www.cvhp.org/our_facilities/foothill_presbyterian.aspx
75,14791204,NOT AVAILABLE,http://www.glendalememorial.com
76,19090027,NOT AVAILABLE,http://www.kaiserpermanente.org
77,19391402,NOT AVAILABLE,http://www.kaiserpermanente.org
78,36691356,NOT AVAILABLE,http://california.providence.org/
79,42990020,NOT AVAILABLE,http://www.shrinershospitalsforchildren.org/hospitals/locations/losa ngeles.aspx
80,50190716,NOT AVAILABLE,http://www.tcrmc.org/
81,45295422,NOT AVAILABLE,http://www.adventisthealth.org
82,6193638,NOT AVAILABLE,http://www.valleychildrens.org/pages/default.aspx
83,11792270,NOT AVAILABLE,http://www.emc.org
84,15295124,NOT AVAILABLE,http://www.goodsamsanjose.com
85,20495051,NOT AVAILABLE,http://www.kaiserpermanente.org
86,27094304,NOT AVAILABLE,http://www.lpch.org
87,19494063,NOT AVAILABLE,http://www.kaiserpermanente.org
88,18094520,NOT AVAILABLE,http://www.johnmuirhealth.com
89,47794509,NOT AVAILABLE,http://www.sutterdelta.org
90,19995825,NOT AVAILABLE,http://www.kaiserpermanente.org
91,43195945,NOT AVAILABLE,http://www.snmh.org
92,24690623,NOT AVAILABLE,http://www.lapalmaintercommunityhospital.com
93,38492673,NOT AVAILABLE,http://www.memorialcare.org
94,13795991,NOT AVAILABLE,http://www.frhg.org/
95,10230143,NOT AVAILABLE,http://www.piedmontmountainsidehospital.org
96,15530606,NOT AVAILABLE,http://www.stmarysathens.com
97,14130080,NOT AVAILABLE,http://www.ridgeviewinstitute.com
98,502891,(401) 596-6000,http://www.westerlyhospital.org/
99,1553715,(608) 251-6100,http://www.stmarysmadison.com
100,8253213,(414) 454-6600,http://www.aurorahealthcare.org
101,9753097,(262) 243-7408,http://www.columbiacenter.org
102,4354923,(920) 361-1313,http://www.chnwi.org
103,63072758,(479) 338-8000,NOT AVAILABLE
104,10454024,(715) 483-3261,http://www.scrmc.org
105,11854017,(715) 246-2101,http://www.westfieldshospital.com
106,12453081,(920) 459-8300,http://www.stnicholashospital.org
107,13154665,(608) 637-2101,http://www.vmh.org
108,72390241,(562) 904-5000,http://www.pihhealth.org/
109,72790503,NOT AVAILABLE,http://california.providence.org/
110,58592354,(800) 825-5437,http://childrens-hospital.lomalindahealth.org/
111,15254904,(920) 223-2000,http://www.affinityhealth.org
112,75420007,(202) 444-2000,http://www.medstargeorgetown.org/#q={}
113,31233525,(352) 521-1100,www.bayfrontdadecity.com
114,7233484,(561) 498-4440,http://www.delraymedicalctr.com
115,36034758,(407) 530-2000,http://poincianamedicalcenter.com/
116,9802703,(508) 761-8500,http://arbourhealth.com/organizations/arbour-fuller-hospital/
117,9702146,(617) 731-3200,http://arbourhealth.com/organizations/arbour-hri-hospital/
118,36232068,(904) 602-1000,http://www.jaxhealth.com/
119,36334471,(352) 282-4000,http://healthsouthocala.com/
120,3906250,(860) 456-1311,http://www.natchaug.org/
121,36634997,(772) 324-3522,http://www.healthsouthmartin.com/
122,10502114,(617) 722-3000,http://www.shrinershospitalsforchildren.org/locations/boston
123,10602129,(617) 573-7000,http://spauldingrehab.org/
124,11402720,(508) 295-0880,NOT AVAILABLE
125,12101904,(781) 922-3000,http://www.beverlyhospital.org/locations--services/locations/bayridge-hospital
126,12001056,(413) 583-8820,http://www.healthsouthrehab.org/en/our-hospital
127,12142728,(270) 384-4753,http://www.westlakeregionalhospital.com
128,13050144,(641) 446-4871,http://www.decaturcountyhospital.org
129,4466032,(785) 204-4000,http://www.saint-lukes.org
130,7567860,(620) 355-7111,http://www.kearnycountyhospital.com
131,7767467,(785) 392-2122,http://www.ottawacountyhealthcenter.com
132,3502492,(781) 453-3000,http://www.bidmc.org/centersanddepartments/departments/otherlocations/bethisraeldeaconesshospitalneedham.aspx
133,12402745,(508) 995-6900,http://www.vhmass.com/
134,4002062,(781) 769-4000,https://www.norwood-hospital.org/
135,12602537,(508) 833-4000,http://spauldingrehab.org/locations/sandwich-ma/
136,6702143,NOT AVAILABLE,http://www.challiance.org/locations/somervillehospitalcampus.aspx
137,12701104,(413) 787-2000,http://www.shrinershospitalsforchildren.org/locations/springfield
138,372903,(479) 314-6000,http://www.stedwardmercy.com
139,7472901,(479) 785-3300,http://www.healthsouthfortsmith.com
140,9700000,(501) 278-3100,http://www.wcmc.org
141,10172143,(501) 268-6121,http://www.wcmc.org
142,10272834,(479) 229-4677,NOT AVAILABLE
143,2271923,(870) 245-2622,http://www.baptist-health.com/locations/accesspoint.aspx?accesspointid=187
144,872616,(870) 423-3355,http://www.mercy.net/practice/mercy-hospital-berryville
145,1072632,(479) 253-7400,http://www.eurekaspringshospital.com
146,2871653,(870) 265-5343,http://www.lakevillageclinic.com/serehabhosp.html
147,671671,(870) 226-3731,http://www.bradleycountymedicalcenter.com
148,8872455,(870) 892-6000,http://www.fiveriversmedicalcenter.com
149,2571742,(870) 352-6300,http://www.dallascountymedicalcenter.com
150,4100000,(870) 735-1500,http://www.crittendenregional.org/
151,6171701,(870) 836-1000,http://www.ouachitamedcenter.com
152,572601,(870) 365-2000,http://www.narmc.com
153,1672560,(870) 269-4361,http://www.whiteriverhealthsystem.com
154,2372454,(870) 598-3881,http://www.piggottcommunityhospital.com
155,1372543,(501) 887-3000,http://www.baptist-health.com/maps-directions/bhmc-heber-springs
156,2472110,(501) 977-2300,https://www.stvincenthealth.com/morrilton/
157,3072205,(501) 686-5000,http://www.uamshealth.com/?id=1&sid=1
158,5000000,(501) 202-3000,https://www.baptist-health.com/locations/accesspoint.aspx?accesspointid=190
159,6972113,(501) 803-3388,http://www.umch.org
160,1971901,(501) 624-1281,http://www.levihospital.com
161,4671901,(501) 624-4411,NOT AVAILABLE
162,5971913,(501) 622-1120,http://www.chistvincent.com/hospitals/st-vincent-hot-springs
163,6600000,(501) 332-1000,http://www.hscmc.org/
164,3971603,(870) 267-6450,http://adc.arkansas.gov/pages/default.aspx
165,6871603,(870) 541-7100,http://www.jrmc.org
166,2772703,(479) 444-2200,http://www.healthsouthfayetteville.com
167,331404,NOT AVAILABLE,http://www.memorialhealth.com
168,9372703,(479) 521-5731,http://www.vistahealthservices.com
169,9672762,(479) 684-3000,http://www.northwesthealth.com/pages/home.aspx
170,9454915,(920) 738-2000,http://www.affinityhealth.org
171,3271953,(479) 394-6100,http://menamedical.com/
172,4972927,(479) 675-2800,http://www.boonevillehospital.com
173,5172855,(479) 963-6101,http://www.mercy.net/practice/mercy-hospital-paris
174,62572396,(870) 238-3300,NOT AVAILABLE
175,64072205,(501) 202-7578,NOT AVAILABLE
176,8053211,(414) 298-6700,http://www.columbia-stmarys.com
177,14385622,(520) 393-4710,http://greenvalleyhospital.com/
178,62472160,(870) 674-6301,NOT AVAILABLE
179,1042539,(606) 787-6275,NOT AVAILABLE
180,5240336,(606) 723-2115,http://www.marcumandwallace.org
181,3641653,(606) 886-8511,http://www.hrmc.org
182,7140207,(502) 893-1102,https://nortonhealthcare.com/pages/nwkch.aspx
183,9440215,(502) 361-6000,http://www.kentuckyonehealth.org/body.cfm?id=3288&fr=true
184,10640207,(502) 896-0495,http://www.thebrookhospitals.com/
185,240031,(502) 222-5388,https://www.baptisthealth.com/lagrange/pages/default.aspx
186,9401605,(508) 799-0534,http://adcare.com/
187,8401730,NOT AVAILABLE,http://www.bedford.va.gov/
188,9501913,(978) 463-1000,http://www.lahey.org/amesbury/
189,1202215,(617) 632-7000,http://www.bidmc.harvard.edu
190,9602130,(232) 722-4400,http://arbourhealth.com/organizations/arbour-hospital/
191,8201930,(978) 283-4000,http://www.beverlyhospital.org/locations--services/locations/addison-gilbert-hospital
192,11801542,(413) 787-6700,http://www.vhwmasscentral.com/
193,13925027,(508) 752-4681,http://www.mass.gov/eohhs/gov/departments/dmh/worcester-recovery-center-and-hospital-.html
194,4204730,(207) 532-2900,http://www.houlton.net/hrh
195,2804901,(207) 861-3012,http://www.inlandhospital.org
196,3004330,(207) 626-1000,https://www.mainegeneral.org/pages/home.aspx
