name,alt_name,objectid,id,status,type,trauma,owner,ttl_staff,population,beds,helipad,naics_code,naics_desc
CENTRAL VALLEY GENERAL HOSPITAL,NOT AVAILABLE,1,5793230,CLOSED,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,49,49,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,NOT AVAILABLE,2,53391362,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,62,62,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
EAST LOS ANGELES DOCTORS HOSPITAL,NOT AVAILABLE,3,11190023,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,127,127,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,4,17090028,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,100,100,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KINDRED HOSPITAL BALDWIN PARK,NOT AVAILABLE,5,23691706,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,95,95,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
LAKEWOOD REGIONAL MEDICAL CENTER,NOT AVAILABLE,6,25190712,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,172,172,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MONROVIA MEMORIAL HOSPITAL,NOT AVAILABLE,7,30791016,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,49,49,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MONTEREY PARK HOSPITAL,NOT AVAILABLE,8,30891754,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,101,101,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
STAR VIEW ADOLESCENT - P H F,NOT AVAILABLE,9,47090505,OPEN,PSYCHIATRIC,NOT AVAILABLE,PROPRIETARY,-999,16,16,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,NOT AVAILABLE,10,9092879,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,78,78,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MODOC MEDICAL CENTER,NOT AVAILABLE,11,30696101,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - LOCAL,-999,87,87,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SALINAS VALLEY MEMORIAL HOSPITAL,NOT AVAILABLE,12,38593901,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999,269,269,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
CORPUS CHRISTI SPECIALTY HOSPITAL,NOT AVAILABLE,13,12678414,CLOSED,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,189,189,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,NOT AVAILABLE,14,15992866,OPEN,CHILDREN,NOT AVAILABLE,PROPRIETARY,-999,27,27,N,622110,"CHILDREN'S HOSPITALS, GENERAL"
HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,NOT AVAILABLE,15,16192680,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,48,48,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KINDRED HOSPITAL BREA,NOT AVAILABLE,16,23792621,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,86,86,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KINDRED HOSPITAL WESTMINSTER,NOT AVAILABLE,17,24392683,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,109,109,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,NOT AVAILABLE,18,22093277,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999,63,63,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
CHARLTON MEMORIAL HOSPITAL,NOT AVAILABLE,19,1931537,CLOSED,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999,-999,-999,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
DAUTERIVE HOSPITAL,NOT AVAILABLE,20,5870563,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,103,103,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
CROCKETT MEDICAL CENTER,EAST TEXAS MEDICAL CENTER - CROCKETT,21,13177954,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,25,25,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
CENTRAL LOUISIANA STATE HOSPITAL,NOT AVAILABLE,22,4671360,OPEN,PSYCHIATRIC,NOT AVAILABLE,GOVERNMENT - STATE,-999,128,128,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
REEVES MEMORIAL MEDICAL CENTER,NOT AVAILABLE,23,15671222,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999,11,11,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SERENITY SPRINGS SPECIALTY HOSPITAL,NOT AVAILABLE,24,16971241,OPEN,PSYCHIATRIC,NOT AVAILABLE,PROPRIETARY,-999,18,18,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
RIVERBRIDGE SPECIALTY HOSPITAL,NOT AVAILABLE,25,15371373,OPEN,LONG TERM CARE,NOT AVAILABLE,PROPRIETARY,-999,40,40,N,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
CITIZENS MEDICAL CENTER,NOT AVAILABLE,26,5371418,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999,40,40,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
BROWN MEMORIAL CONVALESCENT CENTER,NOT AVAILABLE,27,22830662,CLOSED,LONG TERM CARE,NOT AVAILABLE,PROPRIETARY,-999,144,144,N,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)"
COLLEGE MEDICAL CENTER,PACIFIC HOSPITAL OF LONG BEACH,28,70990806,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,121,121,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,NOT AVAILABLE,29,71794577,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NOT AVAILABLE,-999,216,216,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KINDRED HOSPITAL PARAMOUNT,NOT AVAILABLE,30,72590723,OPEN,LONG TERM CARE,NOT AVAILABLE,PROPRIETARY,-999,177,177,N,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,NOT AVAILABLE,31,73790650,OPEN,PSYCHIATRIC,NOT AVAILABLE,GOVERNMENT - STATE,-999,1265,1265,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
PINCKNEYVILLE COMMUNITY HOSPITAL,NOT AVAILABLE,32,196162274,OPEN,CRITICAL ACCESS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999,17,17,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ST JOSEPH'S HOSPITAL - SAVANNAH,NOT AVAILABLE,33,85531419,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,294,294,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KINDRED HOSPITAL ROME,NOT AVAILABLE,34,86630165,OPEN,LONG TERM CARE,NOT AVAILABLE,NOT AVAILABLE,-999,45,45,N,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
UPSON REGIONAL MEDICAL CENTER,NOT AVAILABLE,35,87130286,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NOT AVAILABLE,-999,115,115,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
PHOEBE SUMTER MEDICAL CENTER,NOT AVAILABLE,36,87531719,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NOT AVAILABLE,-999,76,76,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ROOSEVELT WARM SPRINGS LTAC HOSPITAL,NOT AVAILABLE,37,87931830,OPEN,LONG TERM CARE,NOT AVAILABLE,NOT AVAILABLE,-999,32,32,N,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
SOUTHEASTERN REGIONAL MEDICAL CENTER,NOT AVAILABLE,38,90030265,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,50,50,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,NOT AVAILABLE,39,196500984,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NOT AVAILABLE,-999,988,988,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
BROWN CTY COMMUNITY TREATMENT CENTER,NOT AVAILABLE,40,2054311,OPEN,PSYCHIATRIC,NOT AVAILABLE,GOVERNMENT - LOCAL,-999,16,16,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,WISCONSIN HEART HOSPITAL,41,151253226,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NOT AVAILABLE,-999,40,40,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,NOT AVAILABLE,42,196600956,OPEN,PSYCHIATRIC,NOT AVAILABLE,NOT AVAILABLE,-999,-999,-999,N,622210,"CHILDREN'S HOSPITALS, PSYCHIATRIC OR SUBSTANCE ABUSE"
COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,NOT AVAILABLE,43,159171301,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NOT AVAILABLE,-999,18,18,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
OCSHNER ST. ANNE GENERAL HOSPITAL,NOT AVAILABLE,44,163570394,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NOT AVAILABLE,-999,38,38,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
FELICIANA FORENSIC FACILITY,NOT AVAILABLE,45,164970748,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - STATE,-999,-999,-999,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
UNITED MEDICAL HEALTHWEST-NEW ORLEANS,NOT AVAILABLE,46,160970056,OPEN,REHABILITATION,NOT AVAILABLE,PROPRIETARY,-999,14,14,N,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)"
RIPON MEDICAL CENTER,NOT AVAILABLE,48,152354971,OPEN,CRITICAL ACCESS,LEVEL IV,NOT AVAILABLE,-999,18,18,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
VA MEDICAL CENTER - PROVIDENCE,NOT AVAILABLE,49,13402908,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - FEDERAL,-999,-999,-999,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
TOMAH VA MEDICAL CENTER,NOT AVAILABLE,50,15954660,OPEN,MILITARY,NOT AVAILABLE,GOVERNMENT - FEDERAL,-999,-999,-999,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ASCENSION GOOD SAMARITAN HLTH CTR,NOT AVAILABLE,51,5854452,OPEN,GENERAL ACUTE CARE,LEVEL IV,NON-PROFIT,-999,25,25,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
RESTPADD PSYCHIATRIC HEALTH FACILITY,NOT AVAILABLE,52,58796001,OPEN,PSYCHIATRIC,NOT AVAILABLE,PROPRIETARY,-999,16,16,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
THE CHAMPION CENTER,NOT AVAILABLE,53,59093436,OPEN,REHABILITATION,NOT AVAILABLE,PROPRIETARY,-999,34,34,N,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)"
STEWART WEBSTER HOSPITAL,NOT AVAILABLE,54,23831825,CLOSED,CRITICAL ACCESS,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999,25,25,N,622310,"HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)"
KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,NOT AVAILABLE,55,21891761,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,176,176,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,NOT AVAILABLE,56,25692354,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,134,134,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ST. BERNARDINE MEDICAL CENTER,NOT AVAILABLE,57,44792404,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,342,342,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KAISER FND HOSP - SAN DIEGO,NOT AVAILABLE,58,20092120,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,414,414,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SCRIPPS GREEN HOSPITAL,NOT AVAILABLE,59,40992037,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,173,173,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,NOT AVAILABLE,60,41092024,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,194,194,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,NOT AVAILABLE,61,42292123,OPEN,WOMEN,NOT AVAILABLE,NON-PROFIT,-999,206,206,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,62,51092103,OPEN,GENERAL ACUTE CARE,LEVEL I,NON-PROFIT,-999,390,390,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
