objectid,id,source,sourcedate,val_method,val_date
1,5793230,http://www.oshpd.ca.gov/hid/facility-listing.html,2/4/2016 0:00,IMAGERY/OTHER,2/10/2014 0:00
2,53391362,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
3,11190023,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
4,17090028,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
5,23691706,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
6,25190712,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
7,30791016,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
8,30891754,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
9,47090505,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
10,9092879,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
11,30696101,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
12,38593901,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
13,12678414,http://www.dshs.state.tx.us/chs/hosp/hosp2.shtm,9/23/2014 0:00,IMAGERY/OTHER,5/8/2020 0:00
14,15992866,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
15,16192680,http://www.oshpd.ca.gov/hid/facility-listing.html,8/2/2019 0:00,IMAGERY/OTHER,2/10/2014 0:00
